text,count-occurences-total,count-documents
mode,44,25
b,386,300
color,56,50
wileyonlinelibrarycom,15,15
attempt,16,14
discover,15,13
trigger,14,11
novel,36,31
application,198,172
propose,63,52
ascend,2,2
approach,272,205
evaluate,50,48
processing,185,149
data,750,465
sets,31,26
samples,35,29
reveal,17,15
verify,9,7
cost,148,119
threshold,55,39
remainder,3,3
section,269,193
introduces,12,12
preliminaries,2,2
describes,22,20
exploit,5,5
construction,74,56
defense,15,14
suggestions,11,10
discusses,9,8
works,42,40
conclude,13,12
value,178,126
functions,103,65
function,144,122
goal,52,51
algorithm,494,295
learn,15,15
input,103,73
observation,124,71
actors,7,4
state,190,132
vector,64,43
probability,101,65
choose,21,19
time,641,463
task,174,143
end,65,57
form,52,48
trajectory,174,121
denote,9,9
ith,14,14
stateaction,4,2
reward,32,22
trajectories,92,57
simple,63,61
formula,13,13
discount,3,3
factor,58,50
markov,10,9
decision,70,64
simplicity,12,12
p,386,255
equation,25,21
v,165,122
update,45,39
log,14,13
space,141,106
snm,1,1
matrix,83,63
grid,39,27
sij,4,4
tuples,4,2
avail,4,2
coordinate,26,21
ij,29,11
j,720,427
length,71,60
distance,397,282
obstacle,33,26
size,150,125
actions,63,46
left,53,50
right,61,55
retraining,2,2
target,172,132
utilizes,19,17
enables,24,21
layer,34,20
pair,5,5
actor,2,2
network,346,210
critic,1,1
connect,8,8
employ,12,12
twolayer,3,3
structure,65,57
discuss,38,33
shows,176,142
agenti,3,1
copies,25,14
parameters,141,114
interacts,3,3
environmenti,1,1
diverse,19,16
compute,21,20
computational,46,42
resource,23,22
modes,15,13
switch,13,13
locations,78,61
collaborative,22,18
converges,6,6
condition,27,26
eg,178,150
episode,3,2
number,436,293
term,18,14
represent,54,47
interval,10,10
contains,33,31
subsequence,1,1
agentenvironment,1,1
interactions,39,32
terminal,8,7
states,54,44
finite,13,11
sd,21,14
st,19,16
k,87,53
deviation,41,36
mt,2,2
dependent,19,19
numpy,1,1
random,59,50
choice,19,19
means,69,61
confidence,19,10
construct,13,12
consists,59,57
steps,49,40
table,394,330
need,157,139
boundary,26,21
constraint,21,20
step,65,48
feedback,68,47
iterations,43,34
method,245,174
determine,81,73
baffles,8,7
build,28,25
train,19,18
manages,2,2
updates,18,15
cooperates,1,1
networks,249,168
stability,31,28
contour,7,5
surface,75,58
subgraph,1,1
point,225,171
distribution,129,93
line,172,125
denotes,12,11
way,79,72
increment,10,5
position,206,158
words,18,17
fit,13,13
architecture,97,78
model,347,225
visualization,12,12
ascent,6,6
capture,22,21
collection,89,75
frequency,54,48
g,221,145
sample,18,17
x,483,248
square,53,38
ls,7,7
linear,45,39
composition,12,12
primary,38,38
power,546,329
ax,1,1
loss,107,73
f,474,251
blocks,5,4
extract,17,16
intersection,16,13
points,223,144
lines,64,38
horizon,22,20
ones,27,26
grouped,5,5
max,38,31
subset,15,15
eh,7,7
el,11,9
minimum,146,121
distances,50,45
curve,22,19
ei,11,9
coordinates,46,40
shortest,20,17
equations,64,59
tangent,2,2
df,3,3
dx,4,4
min,63,51
dl,59,48
dh,12,12
cases,78,68
produce,10,9
bands,10,8
pathfindings,1,1
functionf,1,1
fromf,1,1
dlas,1,1
bgban,1,1
area,426,282
boundaries,12,11
fl,21,20
fh,2,2
angle,65,49
shift,12,12
arctan,1,1
case,256,196
sin,22,12
ii,28,25
iii,23,21
return,16,15
gb,5,4
calculation,19,18
achieve,58,55
bgb,2,2
candidate,26,19
examples,57,49
horizontal,49,36
axis,22,17
ignore,4,4
segment,46,38
inverse,3,3
design,285,223
definition,22,18
athe,2,2
null,1,1
repeat,3,3
exampleaiand,1,1
ais,2,2
feffect,10,5
fcost,7,6
effect,69,61
maximum,215,142
exampleai,1,1
finish,5,5
ratio,36,32
converge,21,18
tmodel,1,1
gird,1,1
arg,3,3
influence,37,34
tries,2,2
explore,28,27
discrete,18,18
complexity,38,34
traverse,6,6
exhaust,1,1
level,119,100
factors,117,90
computation,47,39
include,127,114
parts,49,44
width,24,19
accurate,62,58
production,60,52
platform,126,83
experimental,37,30
configuration,66,56
chosen,55,51
randomness,2,2
python,9,8
randomrandint,1,1
block,16,13
exists,10,9
times,107,87
randint,1,1
init,4,1
fine,6,6
density,55,44
hand,58,48
filter,85,70
asr,13,10
dn,27,18
gi,5,4
operating,63,57
system,822,544
ubuntu,1,1
lts,1,1
cpu,7,6
core,20,19
tm,6,6
ghz,4,4
gpu,7,7
msi,1,1
geforce,3,3
rtx,2,2
ventus,1,1
measure,33,28
presents,65,57
comparison,121,115
reaches,5,5
minimal,24,23
causes,18,18
decreases,16,12
increases,61,50
reach,35,31
variation,28,28
cause,37,32
acceleration,57,37
decrease,52,41
weight,63,48
ensures,9,7
proper,13,12
consideration,20,20
affect,38,35
address,50,44
insights,62,56
experiment,124,78
models,150,111
performance,223,179
parameter,32,30
lack,36,35
robustness,19,18
exception,8,8
hyperparameter,2,2
lot,22,21
consequences,8,5
efforts,23,22
thought,10,9
perturbations,2,1
inputs,22,19
types,189,151
audio,19,11
deception,1,1
printers,1,1
picture,20,17
photo,14,11
face,29,17
change,51,42
gender,5,5
prediction,24,23
biometric,1,1
utility,7,7
eykholt,4,4
road,61,39
signs,3,3
abnormality,1,1
carlini,2,1
voice,39,26
commands,59,33
people,74,60
hear,2,2
waveform,1,1
noises,1,1
blackbox,5,4
transformations,3,3
playback,2,2
taori,2,2
similarity,10,9
belongs,5,5
implicit,11,10
dominant,6,4
elsayed,2,2
noise,44,38
features,140,100
intrusion,4,3
exposes,1,1
concrete,16,14
bring,10,10
consequence,9,9
exploits,2,2
subdomain,1,1
patterns,72,53
support,115,97
convolutional,34,30
recurrent,4,4
problem,284,185
behzadan,2,1
munir,1,1
vehicles,356,245
collide,3,2
drones,1547,744
techniques,165,131
crowd,6,6
everitt,1,1
signals,30,26
lin,23,23
involves,14,14
dnns,1,1
approximation,16,15
huang,14,14
zhu,10,10
falsification,1,1
quantitative,9,9
threats,22,16
batch,5,5
control,595,369
attacker,9,5
aims,24,21
poison,5,4
scenario,102,82
belong,10,10
kind,11,9
singleagent,1,1
summary,90,82
stateoftheart,17,17
field,246,164
vision,154,111
detection,669,449
game,30,24
tabular,2,2
certaintyequivalence,2,2
regulator,2,2
developed,146,124
addition,77,70
proposes,11,11
poses,6,6
threat,14,12
effectiveness,20,20
exist,23,22
limitations,55,49
future,230,181
plan,58,49
wider,13,13
range,227,179
implement,30,29
combination,40,40
type,182,147
mirjalili,2,2
dnnintraface,1,1
visiongender,1,1
cnnlisagtsrb,1,1
drnspeech,1,1
audioaudio,1,1
dnngoogle,1,1
inception,1,1
net,5,5
visionimage,1,1
classification,145,119
corona,1,1
systemwater,1,1
reservoir,2,2
dqn,3,3
abbreviations,4,3
cnn,28,26
ddn,1,1
drn,1,1
qnetwork,6,6
acknowledgements,3,3
orcid,1,1
references,14,12
wurman,1,1
pr,26,25
dandrea,6,6
mountz,1,1
hundreds,3,3
warehouses,24,16
magazine,2,2
pasareanu,1,1
cs,23,18
luckow,1,1
monitoring,274,187
airport,4,3
aaai,3,2
workshop,19,18
andreychuk,1,1
yakovlev,1,1
atzmon,1,1
mapf,1,1
proceedings,217,213
twentyeighth,1,1
conference,240,215
harabor,1,1
dd,2,2
grastien,1,1
icaps,1,1
watkins,2,2
cambridge,22,13
mnih,4,2
silver,4,2
atari,2,2
lillicrap,1,1
tp,2,2
jj,7,7
pritzel,1,1
representations,11,8
ap,5,5
mirza,1,1
methods,182,155
ren,5,5
challenge,85,72
report,62,50
szegedy,2,1
zaremba,1,1
sutskever,2,2
properties,18,16
bengio,3,3
world,80,73
shlens,2,2
cite,3,2
article,91,74
jiqiang,1,1
yingxiao,1,1
int,140,82
syst,136,104
philipp,7,6
dario,2,2
elia,4,4
titus,1,1
mathias,1,1
manasi,1,1
davide,10,7
drone,2167,1032
abstraction,4,3
timeoptimal,32,17
planning,299,235
deployed,35,31
championship,9,7
alphapilot,13,11
detect,132,112
gate,98,37
detections,124,103
compensate,15,14
drift,24,17
estimate,110,73
gates,56,26
navigate,38,34
race,38,20
course,26,19
approximate,14,13
dynamics,45,39
guide,16,15
tight,3,3
courses,6,6
speeds,30,25
ms,85,60
ranked,4,4
agile,7,7
flight,585,354
gain,25,24
years,74,58
tasks,131,109
industries,43,34
capabilities,70,61
fly,100,89
hover,17,13
order,265,197
sense,27,20
sufficient,18,18
avoid,82,74
obstacles,46,36
faster,32,29
increase,132,112
ability,88,74
foehn,11,8
perception,33,27
foehnifiuzhch,1,1
dep,2,1
informatics,5,5
neuroinformatics,1,1
eth,1,1
enhance,22,22
maneuverability,5,4
spaces,16,15
pilots,27,19
environments,108,96
breathtaking,1,1
human,135,100
versatility,5,5
innovation,21,19
fill,5,4
gap,2,2
martin,5,5
league,4,3
navigates,2,2
day,41,21
beat,2,1
pilot,55,42
races,4,3
focus,106,90
navigation,143,97
pushes,2,2
limits,19,17
advance,9,8
art,23,18
enter,11,10
domain,54,42
light,47,46
motion,112,96
blur,6,5
podium,2,2
raises,3,3
realtime,91,77
estimation,93,76
indoor,178,96
relies,4,4
localization,69,57
mapping,73,61
slam,5,4
visualinertial,4,4
odometry,5,4
vio,37,19
cadena,2,2
variety,34,30
mourikis,2,2
roumeliotis,2,2
qin,2,2
forster,8,8
feature,125,92
goodresultsingeneralnavigationtasksdelmericoandscaramuzza,1,1
degrades,4,4
highspeed,11,10
androtationalvelocitiescauselargeopticflowmakingrobust,1,1
images,472,278
dif,3,3
ficult,1,1
delmerico,3,2
overcome,18,18
difficulty,10,10
approaches,103,84
landmarks,118,75
jung,9,7
locates,1,1
relative,56,52
attitude,21,18
estimates,34,31
measurement,73,60
imu,7,7
reference,89,76
guides,4,4
lightweight,10,10
struggles,1,1
retrieve,5,5
box,45,37
law,21,19
flow,55,37
steer,6,6
account,52,49
quadrotor,53,39
lowspeed,4,4
uses,108,90
infer,8,7
fuse,5,5
generate,60,55
prominent,6,6
quadrotors,13,11
nature,75,68
differentiallyflat,1,1
mellinger,4,4
mueller,9,9
polynomials,5,4
incorporate,9,9
avoidance,80,50
zhou,22,21
gao,14,13
constraints,141,111
falanga,3,3
spasojevic,2,2
interest,154,117
handful,1,1
hehn,5,4
loock,3,2
ryou,4,3
scaramuzza,16,10
simulation,122,91
track,48,39
builds,2,2
fuses,3,3
robust,25,24
corner,54,25
ekf,16,12
accuracy,85,70
align,6,6
profits,6,5
allows,123,102
planner,13,12
plans,30,27
paths,64,50
extends,4,4
elaboration,3,2
sect,15,7
ablation,2,1
details,27,26
fusion,11,9
description,48,38
parameterization,3,3
format,8,8
teams,26,20
series,53,41
qualification,4,2
tests,76,55
guerra,2,2
compete,4,3
prize,1,1
trial,9,7
competition,4,4
team,28,24
attempts,15,13
sequence,22,20
distinct,17,16
appearances,1,1
correct,45,42
terminate,1,1
layout,12,12
uncertainty,120,71
solutions,106,87
adapt,7,6
positions,81,73
lap,7,5
completion,28,27
laps,5,3
difficulties,11,10
diameter,9,8
thrusttoweight,1,1
nvidia,6,6
jetson,6,6
xavier,7,7
sensors,318,227
actuators,4,4
onboard,73,64
sensor,266,203
suite,5,5
stereo,6,5
camera,318,204
pairs,5,5
laser,20,19
rangefinder,5,5
lrf,4,4
reception,3,3
specifications,26,26
controller,51,36
con,2,2
ec,2,1
z,104,83
illustrationoftheracedronewithitsbodyfixedcoordinateframe,1,1
blue,22,16
frame,88,59
thrust,18,16
zaxis,16,14
angular,4,4
velocity,122,81
bodyfixed,3,3
letters,9,9
vectors,11,9
matrices,9,7
subscripts,1,1
pc,8,7
pb,23,21
express,15,13
generality,3,3
origin,17,13
sake,2,2
readability,2,2
subscript,8,5
body,38,31
mass,28,23
rotor,20,14
drag,25,18
proportional,6,6
degreesoffreedom,2,1
center,89,71
pbx,2,2
pby,2,2
pbz,3,3
respect,55,53
rotational,6,5
quaternion,8,4
qib,3,3
rib,4,3
rqib,1,1
rotation,33,26
shuster,4,4
scalar,3,3
qw,3,3
qx,2,2
qy,2,2
qz,4,4
eb,3,3
dr,5,4
ibvb,1,1
mg,6,6
force,37,27
bodyrate,1,1
diagdx,1,1
dy,4,4
diagonal,7,7
coefficients,13,8
vb,5,3
gravity,12,11
multiplication,2,2
operator,67,57
cam,1,1
leopard,1,1
imx,1,1
shutter,5,5
resolution,71,54
rads,2,1
garmin,1,1
lidarlite,1,1
interface,58,42
overview,75,73
components,84,71
thread,13,4
kgs,2,1
groups,24,20
brief,9,9
introduction,27,26
functionality,58,53
cameras,181,133
measurements,49,40
view,86,80
multicamera,2,2
capability,44,29
rovio,2,1
pipeline,10,9
provide,245,194
pose,26,22
suffers,2,2
ie,128,98
compensates,2,2
latency,23,18
bandwidth,14,11
latencies,2,2
vehicle,227,160
passes,2,2
changes,64,58
tracked,12,10
scheme,38,25
outer,15,14
proportionalderivative,1,1
pd,1,1
loop,32,23
inner,10,7
outputs,19,17
loops,3,3
command,34,25
sent,18,17
cores,3,1
threads,1,1
throughput,7,7
achieves,11,11
deal,17,15
runs,10,9
contrast,26,25
corners,16,11
segmentations,1,1
likelihood,6,5
present,115,96
pixel,58,42
maps,40,32
gaussians,2,2
projections,1,1
inclusion,5,5
reprojection,4,3
error,52,46
exhibits,3,3
behavior,56,44
observations,68,51
suppress,1,1
impact,58,51
quantity,6,6
exact,19,18
shape,54,36
constrain,4,4
border,18,12
column,30,18
association,16,15
row,7,5
solve,35,32
affinity,6,6
fields,52,47
pafs,8,5
cao,9,8
edges,22,15
stages,17,14
edge,81,67
candidates,32,21
detail,24,24
stage,25,19
mapped,4,4
nc,3,3
cwhnc,1,1
ne,2,2
manner,29,29
meansquarederror,1,1
groundtruth,7,5
class,33,23
lt,4,4
bl,2,2
br,4,4
js,26,22
singlechannel,1,1
indicates,32,31
existence,6,6
ground,271,221
truth,59,54
nearestcornerwithclass,1,1
jthechoiceoftheparameter,1,1
controls,12,12
errors,76,60
aggregation,2,2
pixelwise,2,2
preserves,1,1
distinction,4,4
define,25,25
paf,4,2
classes,33,28
kl,5,4
ek,2,2
rbr,1,1
brbl,1,1
blt,1,1
kls,2,2
twochannel,1,1
lies,9,9
sklg,3,3
belonging,7,6
vklg,3,3
module,125,108
returns,8,8
twostage,2,2
transforms,3,3
associate,9,9
displayed,32,27
encodes,2,1
yellow,7,6
middle,12,12
ifs,1,1
test,231,141
suppression,3,3
positives,23,15
formation,31,25
sk,6,6
sl,42,31
ekls,1,1
score,31,24
expresses,2,2
agreement,20,16
ssk,2,2
eklsyou,1,1
syou,1,1
lineraly,1,1
interpolates,1,1
practice,20,20
integrand,1,1
assignment,28,25
corresponds,13,11
nphard,3,3
bipartite,3,2
subproblems,5,5
optimization,189,145
subproblem,2,2
ldl,1,1
zkl,2,2
dk,7,7
skl,1,1
enforce,3,3
share,18,15
problems,129,95
pairwise,1,1
associations,2,2
fashion,5,5
dataset,51,37
video,184,149
sequences,4,4
source,75,69
annotation,2,2
split,10,10
validation,13,12
rotations,3,3
brightness,5,5
hue,3,3
saturation,5,5
tradeoff,13,13
search,349,175
variants,5,5
unet,8,6
ronneberger,3,3
segmentation,53,45
filters,27,25
preserve,3,3
height,82,58
activation,7,4
leakyrelu,1,1
tensorrt,1,1
memory,35,23
footprint,63,59
inference,24,22
halfprecision,2,2
batches,4,2
fed,5,5
misalignment,1,1
pv,630,269
qiv,11,9
pgi,2,2
igi,3,2
imprecise,4,3
ekfs,4,3
tk,19,16
xk,17,11
xtk,1,1
covariance,48,35
pk,3,3
pvb,7,6
qvb,2,2
riv,5,5
timeinvariant,1,1
subject,17,16
walk,7,7
zk,6,5
priori,3,3
hx,7,7
posteriori,1,1
hk,9,6
norm,2,2
overparameterization,1,1
lead,59,53
linearization,1,1
underestimation,1,1
qivref,4,4
qvrefv,7,4
vrefv,2,2
derive,12,10
chain,14,13
rule,14,12
wherewearriveat,1,1
anduseqivref,1,1
lefthandside,1,1
pvbk,1,1
qvbk,1,1
note,49,47
thate,1,1
simplifies,4,4
derivations,1,1
ad,127,36
consist,7,7
scoi,11,6
pgicoi,1,1
pinhole,8,7
projection,16,13
szeliski,2,2
pcoi,6,5
hgatex,3,2
fx,8,8
cx,10,10
fy,9,8
cy,13,13
zcomponent,1,1
ic,4,4
rigi,1,1
pgico,1,1
ric,2,2
transformation,15,13
rvb,2,2
pbc,2,2
rbc,2,2
describe,37,35
orientation,103,69
alignment,10,10
si,12,11
correspondences,1,1
sum,25,22
minimizes,11,11
measures,34,32
ribebz,1,1
bz,1,1
rvbebz,1,1
hlrf,1,1
purpose,38,37
accelerations,3,2
simpli,1,1
fication,2,2
primitivesinclosedformandenablestheplanningofapproximate,1,1
simplification,4,4
captures,7,7
relevant,57,53
facilitate,20,20
yield,24,22
smoother,3,3
primitives,9,7
strategy,55,44
presentedfinallyamethodtoparameterizethetimeoptimal,1,1
primitive,11,8
pbt,3,3
yout,3,1
xaxis,12,11
pontryagins,1,1
principle,22,22
bertsekas,3,3
bangbang,1,1
vice,7,7
versa,8,8
ux,4,2
ranges,16,13
vbt,1,1
bangsingularbang,1,1
solution,142,95
maurer,2,2
straightforward,4,4
closedform,3,3
maxt,2,2
axes,4,3
vbx,1,1
vby,1,1
vbz,1,1
rest,17,17
nonzero,3,3
velocities,22,21
peraxis,2,2
maneuvers,16,15
scales,5,5
bounds,14,14
depicts,5,5
objective,74,60
passing,4,4
motions,9,8
reduces,21,19
exceed,7,7
infinity,3,3
arc,5,3
duration,26,24
exis,1,1
tence,1,1
expression,2,2
dijkstras,1,1
pt,3,3
simplifications,2,2
simplify,10,10
segments,22,20
kth,7,5
pkt,5,4
require,75,71
pktk,2,1
ptk,2,1
coincide,1,1
polynomial,10,5
derivatives,11,8
controlloopisdesignedundertheassumptionthattheattitude,1,1
setpoint,1,1
delay,15,15
responds,1,1
pberrz,2,2
pbrefz,2,2
secondorder,5,5
posz,3,2
xand,2,2
yaxis,11,9
behave,7,7
constants,3,3
posxy,2,1
pbref,1,1
ibvbz,1,1
determines,17,16
yaw,52,42
ref,8,8
looks,5,4
flies,10,10
prioritizes,3,3
correction,11,10
att,4,3
qwqx,1,1
qyqz,1,1
qwqy,1,1
qxqz,1,1
ib,2,2
qibref,1,1
tatt,1,1
firstorder,5,5
multilap,2,2
facility,25,15
suboptimal,5,5
gray,6,6
flew,7,7
peak,3,3
albeit,1,1
pass,11,10
thanks,12,10
execute,3,3
subsections,7,7
budget,7,7
designedtomaximizedetectionaccuracywhilekeepingalow,1,1
architectures,7,6
union,5,5
iou,7,5
precision,55,44
pre,5,5
recall,8,8
rec,3,3
index,34,26
levels,45,44
contain,20,17
kernel,10,7
sizes,26,24
timings,2,2
desktop,1,1
ti,8,8
arch,5,5
params,1,1
summarizes,27,25
precisionrecall,2,1
predictions,6,6
scores,21,17
obtains,2,2
instances,8,8
illumination,10,7
detector,20,14
illustrates,15,15
quality,92,77
leftand,1,1
implementingthenetworkintensorrtandperforminginfer,1,1
vs,38,30
percentage,17,17
parenthesis,1,1
ngates,1,1
cpc,2,2
ence,1,1
pure,2,2
proven,12,12
flown,21,21
corrections,4,4
leads,24,23
discrepancy,3,1
crash,9,7
corrects,2,2
precise,39,38
imperfect,4,3
found,132,114
tradeoffs,10,10
outperforms,2,2
execution,10,10
deviations,14,14
evaluation,80,65
matlab,6,6
laptop,5,4
turn,27,25
failures,55,39
failure,159,76
caught,3,3
perceptionaware,2,2
trading,2,2
timeoptimality,1,1
visibility,10,8
advantages,32,28
driftfree,1,1
consistent,23,21
handle,23,21
situations,39,35
beating,2,2
perceive,3,3
react,9,8
areas,238,186
versions,7,6
snsf,1,1
competence,2,2
nccr,1,1
snsferc,1,1
grant,7,7
sony,1,1
access,113,95
funding,9,9
universitat,1,1
attribution,16,15
permits,7,7
adaptation,4,4
reproduction,3,3
medium,12,12
appropriate,47,43
credit,11,8
link,35,31
licence,11,4
indicate,26,26
party,4,4
material,30,22
statutory,3,3
regulation,24,20
exceeds,9,9
permitteduseyouwillneedtoobtainpermissiondirectlyfromthecopyright,1,1
holder,4,4
copy,10,9
visit,22,20
dimitri,1,1
vol,317,130
athena,1,1
omari,1,1
sammy,1,1
hutter,2,2
marco,4,4
siegwart,4,4
roland,1,1
daandrea,1,1
quadrocopter,5,5
transactions,13,12
cadenaccarlonelcarrillohlatifyscaramuzzadneiraj,1,1
past,18,18
robustperception,2,2
age,15,11
zhe,1,1
simon,3,3
tomas,3,3
wei,12,12
shihen,1,1
sheikh,1,1
yaser,1,1
multiperson,1,1
pattern,90,56
pp,634,310
benchmark,3,3
monocular,9,9
robots,88,76
cieslewski,3,3
rebecq,1,1
faessler,4,4
uzhfpv,1,1
brent,1,1
graph,38,28
theory,66,56
nj,12,9
prentice,1,1
hall,5,5
saddle,1,1
river,11,10
gehrig,2,2
ranftl,2,2
dosovitskiy,2,2
beauty,1,1
beast,1,1
optimal,29,29
meet,24,21
automation,68,55
icra,11,9
lu,4,4
peng,5,5
pampc,1,1
predictive,8,8
ieeersj,7,7
iros,10,8
progress,17,16
preprint,2,2
arxiv,31,26
muglikar,1,1
rss,4,3
zhang,72,60
zichao,1,1
gassner,1,1
werlberger,1,1
manuel,1,1
svo,1,1
semidirect,1,1
carlone,2,2
luca,10,10
dellaert,1,1
onmanifold,1,1
preintegration,1,1
fei,1,1
wu,30,27
wenliang,1,1
shen,17,17
shaojie,3,3
clouds,16,14
winter,5,5
tal,2,2
ezra,1,1
murali,2,2
gilhyun,1,1
flightgoggles,1,1
perceptiondriven,1,1
photogrammetry,13,13
reality,53,37
ritz,1,1
daadrea,1,1
benchmarking,1,1
allibert,1,1
hua,6,6
hamel,1,1
nonlinear,7,7
effects,38,34
ifacpapersonline,2,2
rudolf,1,1
hungarian,1,1
naval,3,3
logistics,142,52
press,47,47
shuo,1,1
van,30,27
der,6,6
erikduernay,1,1
wagter,1,1
christophe,1,1
de,64,46
croon,1,1
modelpredictive,1,1
pipeleers,1,1
swevers,1,1
ecc,2,2
variables,28,22
siam,2,2
baltes,1,1
competitions,3,3
martinezcarranza,1,1
simovic,1,1
technologies,161,127
anastasios,1,1
siapril,1,1
multistate,1,1
mw,7,6
ieeetransactionsonroboticsdoi,1,1
peiliang,1,1
vinsmono,1,1
versatile,5,5
estimatorieee,1,1
olaf,1,1
fischer,1,1
intervention,10,8
springer,70,66
multifidelity,1,1
malcolm,1,1
survey,225,135
igor,1,1
sertac,1,1
selection,22,21
parametrization,1,1
sunggoo,2,2
sunyou,2,2
heemin,2,2
shim,5,5
guidance,31,29
texts,3,3
isbn,10,10
publishers,13,12
remains,18,17
regard,22,20
jurisdictional,10,10
claims,12,12
affiliations,5,5
andreas,8,6
neil,2,2
jensen,10,8
denmark,17,15
matias,2,2
hololens,9,4
head,34,13
display,46,26
hmd,15,10
tello,2,2
edu,1,1
tool,29,28
expert,61,47
reviews,20,16
visualisation,7,7
firefighters,36,24
rescue,95,74
danger,12,12
highrise,6,5
fires,13,12
plantation,2,2
ar,33,22
devices,65,49
thermal,265,155
firefighterrescue,1,1
worker,2,2
centric,1,1
implications,15,13
findings,36,33
result,129,108
discussion,17,17
conclusionary,1,1
reader,92,62
acm,88,56
visualisations,8,6
pages,8,8
firefighter,34,21
periods,23,18
intense,1,1
stress,27,18
essence,3,3
question,27,25
spend,4,4
arises,9,8
minimise,5,5
spent,27,24
burning,17,11
building,98,68
permission,12,10
digital,31,24
classroom,4,4
fee,5,3
profit,4,4
bear,3,3
notice,5,5
citation,8,8
page,45,39
copyrights,3,3
thirdparty,3,3
contact,11,9
ownerauthors,3,2
copyright,10,8
held,8,8
survivors,48,29
statement,25,24
stake,2,2
fire,56,41
pois,53,34
regards,54,45
utilise,5,5
aid,17,16
house,5,5
professionals,1,1
importance,51,50
implementations,10,9
considerations,18,17
indepth,4,4
look,34,33
choices,12,11
conclusion,9,9
stressful,1,1
directions,34,34
fact,25,23
vigilance,3,2
listener,2,2
event,23,18
objects,114,79
legos,2,2
reaction,4,4
stipulate,2,2
lifeordeath,1,1
lives,15,14
project,99,83
usability,13,13
par,2,2
users,202,130
requirements,78,67
assignments,3,3
relay,25,20
personnel,17,15
wildfires,5,5
api,6,5
dronekit,2,2
gps,98,73
resources,49,42
services,139,86
disasters,12,12
histogram,15,15
gradients,4,4
hog,4,4
particle,70,64
extrapolate,1,1
movement,78,53
remarks,1,1
manipulation,2,2
skills,5,5
detrimental,4,4
integration,30,28
qwakes,2,1
cthru,2,1
headsup,1,1
substitute,1,1
handheld,10,8
device,41,23
seamless,8,7
dark,12,11
smoke,7,7
rooms,6,6
wearer,2,2
scene,7,7
onscene,2,2
games,12,10
review,196,178
service,148,78
refers,18,14
publishing,1,1
varied,15,13
headsupdevice,2,2
google,18,18
glasses,1,1
edgedetection,1,1
glassware,1,1
lowvisibility,2,2
air,119,96
transient,1,1
instructions,12,12
arrows,25,17
directional,18,15
convey,3,3
pacman,2,2
entertainment,12,11
spheres,18,10
tasked,1,1
metaphor,8,8
multiview,4,3
exploratory,19,16
effort,24,19
alternative,54,47
offers,14,13
demo,1,1
user,271,162
person,38,30
serves,24,24
