text,type,count-occurences-total,count-documents
133,CARDINAL,9,2
154,CARDINAL,7,2
213,CARDINAL,10,2
TABLE 3 Overview,LAW,1,1
Control P,ORG,1,1
T4,NORP,1,1
253,CARDINAL,5,2
278,CARDINAL,5,2
312,CARDINAL,8,2
173,CARDINAL,7,2
Dubins,PERSON,2,1
11a,DATE,1,1
F11,ORG,1,1
the Dubins TSP,ORG,2,1
197,CARDINAL,7,2
304,CARDINAL,6,3
320,CARDINAL,3,2
The Dubins TSP,ORG,1,1
NPhard,ORG,2,2
Rathinam,GPE,3,2
Euclidean,PERSON,2,1
Manyam et al,PERSON,1,1
Dubins,ORG,1,1
295,CARDINAL,5,2
139,CARDINAL,7,2
11b,DATE,1,1
198,CARDINAL,5,2
Gentilini,PERSON,1,1
241,CARDINAL,8,2
Arkin,GPE,1,1
Hassin,GPE,1,1
de Berg,PERSON,1,1
Elbassioni,PERSON,1,1
Niendorf,ORG,1,1
193,CARDINAL,8,2
Guerrero,ORG,1,1
Bestaoui,PERSON,1,1
Zermelo,PERSON,1,1
Alighanbari,GPE,1,1
11c,DATE,1,1
Bullo,NORP,1,1
204,CARDINAL,6,2
Pavone,ORG,1,1
TABLE 4 Overview,LAW,1,1
MH,ORG,17,1
H,ORG,4,1
104] M,PRODUCT,1,1
distance entertainment &,ORG,1,1
144,CARDINAL,5,2
Bnd,PERSON,5,1
OTTO et al. 427,PERSON,1,1
TABLE 4,LAW,3,2
Decentral MH,ORG,4,1
174,CARDINAL,7,3
192,CARDINAL,5,2
205,CARDINAL,5,2
206,CARDINAL,6,2
240,CARDINAL,5,2
254] M,PRODUCT,1,1
428,CARDINAL,1,1
280,CARDINAL,6,2
288] H,PRODUCT,1,1
294,CARDINAL,6,2
DP,GPE,1,1
Pavone et al,PERSON,1,1
Enright,ORG,1,1
Voronoi,GPE,1,1
FIGURE 11 Illustration,LAW,1,1
BA,ORG,1,1
OTTO et al. 429,PERSON,1,1
Sanjab,GPE,1,1
node,GPE,3,3
264,CARDINAL,4,2
Wen et al,PERSON,1,1
Caraballo,GPE,1,1
4.4 Planning,ORG,1,1
more than 1000,CARDINAL,1,1
301,CARDINAL,6,2
F12,LAW,1,1
430,CARDINAL,1,1
FIGURE 12 Illustration,LAW,1,1
about 5–15,CARDINAL,1,1
Watts,LOC,1,1
Basha,NORP,1,1
100% to 300%,PERCENT,1,1
Xu et,PERSON,1,1
302,CARDINAL,5,2
169,CARDINAL,20,2
267,CARDINAL,4,2
293,CARDINAL,4,2
Sahingoz,PERSON,2,1
Mazayev,PERSON,1,1
more than two,CARDINAL,1,1
259,CARDINAL,5,2
Liang et al,PERSON,1,1
Jawhar et al,PERSON,1,1
Mozaﬀari,PERSON,3,1
181,CARDINAL,5,2
117].Thebasestationmaynotpossessinformation,CARDINAL,1,1
WSN,ORG,1,1
thetimeintervalbeforetheﬁrstsensorfailureduetoenergyexpiration[23,ORG,1,1
318,CARDINAL,6,2
431,CARDINAL,1,1
Akyildiz,NORP,1,1
Yick,PERSON,1,1
310,CARDINAL,5,2
Younis,NORP,1,1
Akkaya,PERSON,1,1
311,CARDINAL,5,2
289,CARDINAL,3,2
Table 5,CARDINAL,1,1
T5,CARDINAL,1,1
Tse,PERSON,1,1
Viswanath,PERSON,1,1
277,CARDINAL,4,2
Table 6,LAW,1,1
T6,CARDINAL,1,1
13a,DATE,1,1
F13,PRODUCT,1,1
13b,DATE,1,1
Thirdly,ORDINAL,2,2
156,CARDINAL,5,2
160,CARDINAL,6,2
177–179,CARDINAL,1,1
Chetlur,PERSON,1,1
Dhillon,ORG,1,1
183,CARDINAL,6,2
AlHourani,NORP,1,1
88,DATE,1,1
313,CARDINAL,6,2
297,CARDINAL,5,2
298,CARDINAL,5,2
Jeong et al,PERSON,1,1
Fotouhi,GPE,1,1
Swindlehurst,ORDINAL,1,1
Zeng,PERSON,1,1
99,DATE,2,1
248,CARDINAL,7,2
Koulali,NORP,1,1
432,CARDINAL,1,1
TABLE 5 Overview,LAW,1,1
Bezier,PERSON,2,2
OTTO et al. 433,PERSON,1,1
TABLE 5,LAW,3,3
TDMA,ORG,4,1
channel power gain,ORG,1,1
316,CARDINAL,5,2
182,CARDINAL,6,2
238,CARDINAL,6,2
Sections 4.1–4.5,FAC,1,1
Third,ORDINAL,2,2
Fourth,ORDINAL,2,2
Bekmezci et al,ORG,1,1
FANET,ORG,9,2
Sections 4.1–4.5,ORG,2,1
Vilar,GPE,1,1
Shin,PERSON,2,2
434,CARDINAL,1,1
TABLE 6 Overview,LAW,1,1
Nakagamim,ORG,1,1
Nakagamam,GPE,1,1
TABLE 6,LAW,3,2
SDMA,ORG,1,1
179,CARDINAL,4,2
Rayleigh,GPE,1,1
FDMA,ORG,1,1
436,CARDINAL,2,2
Oliveira,PERSON,1,1
201,CARDINAL,4,2
DíazBáñez,ORG,1,1
T7,CARDINAL,1,1
Navaravong,GPE,1,1
187,CARDINAL,6,2
Aloul,GPE,1,1
Kandasamy,ORG,1,1
Koupaei,LOC,1,1
Abdechiri,GPE,2,1
138,CARDINAL,4,2
Koupaei,GPE,1,1
FIGURE 13 Illustration,LAW,1,1
"OTTO et al. 437 
 ",PERSON,1,1
TABLE 7 Overview,ORG,1,1
201] M,PRODUCT,1,1
287,CARDINAL,7,2
262,CARDINAL,7,2
122,CARDINAL,7,2
141,CARDINAL,11,2
165,CARDINAL,6,2
41,DATE,1,1
243,CARDINAL,8,2
271,CARDINAL,7,2
Campbell,ORG,2,1
Viguria et al,PERSON,2,1
438,CARDINAL,1,1
Sections,GPE,2,2
Section 5.4,LAW,2,1
F14,ORG,1,1
Table 9,LAW,1,1
T8 T9,PRODUCT,1,1
UGV,ORG,10,1
Luo et al,LOC,1,1
158,CARDINAL,5,2
Mathew et al,PERSON,3,1
Garone et al,PERSON,2,1
89,CARDINAL,5,2
TABLE 8 Surveyed,ORG,1,1
Section 5.1,LAW,2,1
Section 5.2,LAW,2,1
"89,158,312",CARDINAL,1,1
"OTTO et al. 439 
 ",PERSON,1,1
TABLE 9 Planning,ORG,1,1
166,CARDINAL,5,2
Control,ORG,3,2
440,CARDINAL,1,1
TABLE 9,LAW,2,2
281,CARDINAL,5,2
140,CARDINAL,5,2
215,CARDINAL,6,2
Yu,GPE,1,1
Savuran,GPE,1,1
Karakaya,GPE,1,1
171,CARDINAL,6,2
441,CARDINAL,1,1
Murray,PERSON,3,1
Chu,PERSON,4,2
Tavana,ORG,1,1
Phan,GPE,1,1
Poikonen,GPE,2,1
Amdahl,ORG,1,1
Campbell et al,ORG,1,1
L1,NORP,1,1
Manhattan,GPE,2,2
442,CARDINAL,1,1
Poisson,PERSON,1,1
about 10% to 40%,PERCENT,1,1
Daknama,GPE,1,1
Kraus,PERSON,1,1
6 STRATEGIC,CARDINAL,1,1
F15 Strategic,PRODUCT,1,1
Section 6.1,LAW,3,1
Section 6.2,LAW,1,1
the years,DATE,1,1
Table 10,CARDINAL,2,2
T10,ORG,1,1
Jenie,PERSON,1,1
Pham et al,ORG,1,1
211,CARDINAL,4,2
Richert,PERSON,2,1
"Section 6 
",LAW,1,1
443,CARDINAL,1,1
93,CARDINAL,6,2
113,CARDINAL,5,2
263,CARDINAL,6,2
Section 6.3,LAW,1,1
210] M,PRODUCT,1,1
Section 6.4,LAW,1,1
126,CARDINAL,6,2
232,CARDINAL,6,2
Cortes,ORG,1,1
Bagassi,PERSON,1,1
Furini et al,PRODUCT,1,1
444,CARDINAL,1,1
82,DATE,1,1
Golabi,NORP,1,1
Chowdhury,PERSON,1,1
Fikar,PERSON,1,1
135 km,QUANTITY,1,1
3 and 6 minutes,TIME,1,1
Hong et al,GPE,1,1
Morrison,PERSON,1,1
Kim et al,PERSON,1,1
Peters,PERSON,1,1
Bertuccelli,PERSON,1,1
210,CARDINAL,3,2
Jin et al,PERSON,1,1
Ryan et al,PERSON,1,1
Ford,ORG,2,1
OTTO et al. 445,PERSON,1,1
Lyu et al,PERSON,1,1
• Combined,PRODUCT,1,1
446,CARDINAL,1,1
246,CARDINAL,8,2
more than 75%,PERCENT,1,1
the last 5years,DATE,1,1
• As,PRODUCT,1,1
• More,PRODUCT,9,2
senseandavoid,ORG,2,2
ORCID,ORG,1,1
Alena Otto,PERSON,1,1
Niels Agatz,PERSON,1,1
James Campbell,PERSON,1,1
Bruce Golden,PERSON,1,1
"Erwin Pesch https://orcid.org/0000-0003-0182-870X 
",PERSON,1,1
UASaided,ORG,1,1
April 2014,DATE,1,1
736–744,CARDINAL,1,1
Sensorbased,PERSON,1,1
Int,PERSON,15,1
J. Robotics Res,PERSON,1,1
345–366,CARDINAL,1,1
P. Bouman,ORG,1,1
M. Schmidt,PERSON,1,1
Optimization,PERSON,1,1
Transp,WORK_OF_ART,3,2
Wireless,ORG,4,1
393–422,CARDINAL,1,1
S. Kandeepan,PERSON,2,2
S. Lardner,PERSON,1,1
Optimal LAP,ORG,1,1
IEEE Wirel,ORG,2,1
Commun,PERSON,32,5
569–572,CARDINAL,1,1
F.S. Leira,PERSON,1,1
L. Imsland,PERSON,3,1
MILP,ORG,2,1
Model,ORG,1,1
Control 38,ORG,1,1
21–32,CARDINAL,1,1
7] T.S. Alemayehu,ORG,1,1
J.H. Kim,PERSON,1,1
Wirel,PERSON,2,1
H. Gao,PERSON,1,1
H. Wang,PERSON,4,3
Comput,PERSON,4,1
1015–1018,DATE,1,1
J.P. How,PERSON,1,1
Int,ORG,1,1
118–134,CARDINAL,1,1
N. Kandasamy,PERSON,1,1
SAT,ORG,1,1
Springer,GPE,1,1
pp,GPE,12,3
369–376,CARDINAL,1,1
S. Gal,ORG,1,1
"The Theory of Search Games and Rendezvous, Kluwer Academic Publishers",ORG,1,1
Dordrecht,ORG,6,1
J. Intell,PERSON,31,2
185–197,CARDINAL,1,1
434–437,CARDINAL,1,1
G.M. Amdahl,ORG,1,1
Proceedings of the Spring Joint Computer Conference,ORG,1,1
"April 18–20, 1967",DATE,1,1
1967,DATE,1,1
483–485,CARDINAL,1,1
M.E. Argyle,ORG,1,1
R.W. Beard,PERSON,1,1
D.W. Casbeer,PERSON,1,1
Handbook of Unmanned Aerial Vehicles,ORG,6,1
K.P. Valavanis,ORG,7,1
G.J. Vachtsevanos,PERSON,7,1
R. Hassin,PERSON,1,1
Approximation,ORG,3,1
Discrete Appl,WORK_OF_ART,1,1
197–218,CARDINAL,1,1
G.S.C. Avellar,ORG,1,1
15 (2015,DATE,3,1
27783–27803,CARDINAL,1,1
448,CARDINAL,1,1
J. Oper,PERSON,4,1
335–346,CARDINAL,1,1
J. Adv,PERSON,6,3
Article ID (doi,LAW,2,1
751–766,CARDINAL,1,1
T.W. Bandeira,ORG,1,1
Brazilian,NORP,1,1
J. Field Robot,ORG,2,2
667–689,CARDINAL,1,1
UAV recharging,PERSON,1,1
J. Distrib,PERSON,4,2
824260,DATE,1,1
I. Bekmezci,ORG,1,1
O.K. Sahingoz,PERSON,2,1
S. Temel,PERSON,1,1
1254–1270,CARDINAL,1,1
"Cooperative Control: Models, Applications and Algorithms, S. Butenko",ORG,1,1
R. Murphey,PERSON,1,1
P.M. Pardalos,PERSON,1,1
Boston,GPE,3,2
MA,GPE,5,3
23–41,CARDINAL,1,1
M.G. Monticino,PERSON,1,1
J.R. Weisinger,PERSON,1,1
Naval Res,FAC,1,1
1991,DATE,2,1
469–494,CARDINAL,1,1
Proceedings of the 19th,ORG,1,1
ITS World Congress,ORG,1,1
D.J. Bertsimas,PERSON,2,1
G.J. van Ryzin,PERSON,2,1
Euclidean,LOC,2,1
601–615,CARDINAL,1,1
Stochastic,LOC,1,1
196–204,CARDINAL,1,1
A.K. Bhoopalam,ORG,1,1
N. Agatz,PERSON,1,1
R. Zuidwijk,PERSON,1,1
Transp,GPE,3,1
B Methodol,PERSON,2,1
212–228,CARDINAL,1,1
R.I. BorYaliniz,ORG,1,1
A. ElKeyi,PERSON,4,2
H. Yanikomeroglu,PERSON,8,2
IEEE International Conference on Communications,EVENT,2,1
T. Furukawa,PERSON,1,1
H.F. DurrantWhyte,PERSON,1,1
S. Yuta,PERSON,1,1
E. Prassler,PERSON,1,1
T. Tsubouchi,GPE,1,1
S. Thrun,PERSON,1,1
209–222,CARDINAL,1,1
M. Fliedner,PERSON,1,1
413–422,CARDINAL,1,1
1482–1504,CARDINAL,1,1
Trans,ORG,3,2
593–601,CARDINAL,1,1
D.C. Sweeney II,PERSON,1,1
J. Zhang,PERSON,2,2
Strategic,PERSON,1,1
Supply Chain Analytics Report,ORG,1,1
2017-02-01,DATE,1,1
"September 9, 2015",DATE,1,1
H.R. Cao,PERSON,1,1
10.1177/1550147717705614,DATE,1,1
725–738,CARDINAL,1,1
J.G. Carlsson,PERSON,1,1
S. Song,PERSON,1,1
Coordinated,ORG,3,1
Manag,NORP,1,1
$32 billion,MONEY,1,1
Motley Fool,ORG,1,1
26–34,CARDINAL,1,1
X. Wang,PERSON,5,1
Y. Li,PERSON,3,2
M. Chen,PERSON,1,1
J. Guid,ORG,3,1
Control Dyn,ORG,3,1
1360–1373,DATE,1,1
V.V. Chetlur,PERSON,1,1
H.S. Dhillon,ORG,1,1
Downlink,PERSON,1,1
D.H. Choi,ORG,1,1
S.H. Kim,PERSON,1,1
D.K. Sung,PERSON,1,1
UAVbased,ORG,16,2
Electron,ORG,14,4
2320–2327,CARDINAL,1,1
Y. Kim,PERSON,2,2
H. Kim,PERSON,1,1
Genetic,ORG,1,1
J. Aeronaut,PERSON,3,1
Space Sci. 12,PERSON,1,1
163–174,CARDINAL,1,1
449,CARDINAL,1,1
Ann,PERSON,1,1
Artif,PERSON,1,1
113–126,CARDINAL,1,1
J. Prod,PERSON,2,1
167–184,CARDINAL,1,1
J. Am,ORG,1,1
2332–2334,CARDINAL,1,1
J.A. Cobano,ORG,1,1
133–151,CARDINAL,1,1
A. Mancini,PERSON,1,1
S. Longhi,PERSON,1,1
International Conference on Unmanned Aircraft Systems,ORG,1,1
418–429,CARDINAL,1,1
B.N.,GPE,1,1
306–315,CARDINAL,1,1
I. Cohen,PERSON,1,1
C. Epstein,PERSON,1,1
T. Shima,PERSON,3,1
IISE Trans,ORG,1,1
238–254,CARDINAL,1,1
W.P. Coutinho,ORG,1,1
J. Fliege,ORG,1,1
Working,ORG,1,1
University Southampton,ORG,1,1
C.T. Cunningham,ORG,1,1
R.S. Roberts,PERSON,1,1
3981–3986,CARDINAL,1,1
E. Kraus,PERSON,1,1
Vehicle,ORG,2,1
S. Gupta,PERSON,1,1
O.P. Verma,PERSON,1,1
J. Algorithms 57,PERSON,1,1
22–36,CARDINAL,1,1
G. Guglieri,PERSON,1,1
F. Quagliotti,PERSON,1,1
247–264,CARDINAL,1,1
DHL Perspective on Implications and Use Cases,ORG,1,1
the Logistics Industry,ORG,1,1
DHL Customer Solutions & Innovation,ORG,1,1
Troisdorf,GPE,1,1
J.M. DíazBáñez,PERSON,1,1
S. Singh,PERSON,2,2
AIAA Guidance,PERSON,2,1
Control (GNC,ORG,1,1
UAVassisted,ORG,3,2
J. Supercomput,PERSON,2,1
70,DATE,6,2
1142–1155,CARDINAL,1,1
"Man, Cybernet",ORG,1,1
47,DATE,1,1
J. Math.,PERSON,1,1
1957,DATE,2,1
497–516,CARDINAL,1,1
T. Berg,PERSON,1,1
Norwegian,NORP,1,1
Barents Sea,LOC,1,1
33rd International Conference on Oﬀshore Mechanics and Arctic Engineering,EVENT,1,1
R. Sitters,ORG,1,1
Geom,PERSON,1,1
173–193,CARDINAL,1,1
J.J. Enright,PERSON,2,1
2079–2109,CARDINAL,1,1
1152–1166,CARDINAL,1,1
502–520,CARDINAL,1,1
L. Leblebicio˘glu,PERSON,1,1
737–762,CARDINAL,1,1
348–362,CARDINAL,1,1
Fadlullah,GPE,1,1
UAVaided,ORG,3,2
IEEE Netw,ORG,2,2
100–105,CARDINAL,1,1
IEEE Access 5 (,ORG,1,1
23710–23718,CARDINAL,1,1
Federal Aviation Administration,ORG,8,3
Integration of Civil Unmanned Aircraft Systems,ORG,1,1
the National Airspace System,ORG,1,1
NAS,ORG,1,1
Tech,ORG,6,2
U.S. Department of Transportation,ORG,1,1
"November 7, 2013",DATE,1,1
450,CARDINAL,2,2
Fiscal years 2016–2036,DATE,1,1
tandem,ORG,1,1
kmeans,NORP,7,3
J. Ind. Eng,ORG,1,1
374–388,CARDINAL,1,1
M. Gronalt,PERSON,1,1
P. Hirsch,PERSON,1,1
Expert Syst,PERSON,3,1
104–116,CARDINAL,1,1
D. Cornell,ORG,1,1
Teal Group,ORG,1,1
$65 billion,MONEY,1,1
Teal Group (News,ORG,1,1
Endogadget,ORG,1,1
M. Ding,PERSON,1,1
M. Hassan,PERSON,1,1
Dronecells,PERSON,1,1
C.A. Persiani,PERSON,2,1
P. Toth,PERSON,1,1
M. Carreras,PERSON,1,1
1258–1276,DATE,1,1
J. Kibiłda,PERSON,1,1
L.A. DaSilva,PERSON,1,1
CDC,ORG,3,2
F. Margot,PERSON,1,1
K. Shimada,GPE,1,1
Optim,PERSON,4,1
364–378,CARDINAL,1,1
91,CARDINAL,7,2
2610–2626,CARDINAL,1,1
B. Mettler,ORG,1,1
65–100,CARDINAL,1,1
S.M. Shavarani,PERSON,1,1
G. Izbirak,PERSON,1,1
UAVsupported,ORG,1,1
Tehran,GPE,1,1
Nat,PERSON,1,1
87,DATE,1,1
1545–1565,CARDINAL,1,1
B. Golden,GPE,3,1
S. Raghavan,PERSON,1,1
E. Wasil,PERSON,1,1
The Vehicle Routing Problem:,ORG,1,1
Latest Advances,ORG,1,1
J. Toy,ORG,1,1
Y. Gottlieb,PERSON,1,1
29734–29764,CARDINAL,1,1
P. Shankar,PERSON,1,1
J. Aerosp,PERSON,1,1
E.I. Grøtli,PERSON,1,1
D.T. Ho,WORK_OF_ART,1,1
T.A. Johansen,PERSON,3,1
MPC,ORG,3,2
115–134,CARDINAL,1,1
E.I. Grøtli,FAC,2,1
SPLAT,ORG,1,1
265–282,CARDINAL,1,1
Motionand,GPE,1,1
Model,PRODUCT,1,1
Control 37,ORG,1,1
Z. Gu,PERSON,1,1
656–664,CARDINAL,1,1
Le Theoreme du Perroquet,FAC,1,1
Editions du Seuil,PERSON,1,1
Paris,GPE,2,2
J.A. Guerrero,ORG,1,1
Y. Bestaoui,PERSON,2,1
297–311,CARDINAL,1,1
839–852,CARDINAL,1,1
R. Jain,PERSON,2,2
G. Vaszkun,PERSON,2,2
1123–1152,DATE,1,1
Q.M. Ha et al.,PERSON,1,1
Transportation Research Part C:,ORG,1,1
Emerging Technologies,ORG,1,1
86 2018,DATE,1,1
597–621,CARDINAL,1,1
Vaccine 34,PERSON,1,1
4062–4067,CARDINAL,1,1
Reactive,ORG,1,1
Aeronaut,PERSON,1,1
635–640,CARDINAL,1,1
J. Haugen,ORG,2,1
Unmanned Syst,ORG,3,1
221–238,CARDINAL,1,1
OTTO et al. 451,PERSON,1,1
Control Syst,ORG,1,1
Technol,ORG,2,1
475–486,CARDINAL,1,1
159–179,CARDINAL,1,1
J. Ouaknine,PERSON,1,1
"PSPACEcomplete, Foundations of Software Science and Computation Structures",ORG,1,1
"18th International Conference, FOSSACS 2015",EVENT,1,1
the European Joint Conferences on Theory,ORG,1,1
ETAPS 2015,DATE,1,1
London,GPE,3,2
"April 11–18, 2015",DATE,1,1
328–342,CARDINAL,1,1
I. Hong,ORG,1,1
M. Kuby,PERSON,1,1
A. Murray,PERSON,1,1
13th,ORDINAL,2,2
International Conference,EVENT,1,1
D.A. Griﬃth,PERSON,1,1
Y. Chun,PERSON,1,1
D.J. Dean,PERSON,1,1
"Springer, Cham",PERSON,1,1
125–132,CARDINAL,1,1
J. Hu,PERSON,1,1
J. Xu,PERSON,2,1
L. Xie,PERSON,1,1
121–142,CARDINAL,1,1
W.H. Huang,PERSON,1,1
Optimal,PERSON,1,1
27–32,CARDINAL,1,1
I. Jawhar,PERSON,5,3
Communication,ORG,1,1
93–108,CARDINAL,2,2
N. Mohamed,PERSON,4,3
J. AlJaroodi,ORG,2,2
S. Zhang,PERSON,3,2
J. Intelligent Robotic Syst,ORG,1,1
437–453,CARDINAL,1,1
Y.I. Jenie,PERSON,1,1
Taxonomy of conﬂict detection,ORG,1,1
558–567,CARDINAL,1,1
O. Simeone,PERSON,2,1
J. Kang,PERSON,2,1
Mobile,PERSON,2,2
UAVmounted,ORG,4,2
969–974,CARDINAL,1,1
Mobile,GPE,2,1
IEEE Transactions on Vehicular Technology,ORG,1,1
X. Ji,PERSON,1,1
Math,PERSON,1,1
L. Zhang,PERSON,2,2
Modelling,GPE,2,1
IET Commun,LOC,1,1
A.L. Swindlehurst,PERSON,2,1
J. Sel,PERSON,2,1
123–135,CARDINAL,1,1
Y. Ye,PERSON,1,1
Proceedings of the 2017 International Conference on Intelligent Systems,ORG,1,1
Metaheuristics & Swarm Intelligence,ORG,1,1
113–117,CARDINAL,1,1
Z. Jin,PERSON,1,1
C.J. Schumacher,ORG,1,1
682–693,CARDINAL,1,1
P. Castillo,PERSON,1,1
126–133,CARDINAL,1,1
G. Inalhan,PERSON,1,1
Largescale,GPE,1,1
IFAC Proceedings,ORG,3,1
13310–13317,CARDINAL,1,1
IEEE International Symposium on Robotics and Intelligent Sensors,ORG,1,1
IRIS,ORG,2,2
I. Nielsen,PERSON,1,1
J. Kim,PERSON,3,1
J.R. Morrison,PERSON,4,1
479–498,CARDINAL,1,1
B.D. Song,PERSON,3,1
347–359,CARDINAL,1,1
S.J. Kim et al.,PERSON,1,1
163–180,CARDINAL,1,1
J. Koebler,PERSON,1,1
Air Highways,WORK_OF_ART,1,1
Motherboard,PERSON,1,1
1956,DATE,1,1
503–531,CARDINAL,1,1
613–626,CARDINAL,1,1
IEEE Commun,ORG,4,1
J.A. Koupaei,PERSON,1,1
M. Abdechiri,PERSON,1,1
Appl,GPE,2,2
2896–2905,DATE,1,1
452,CARDINAL,1,1
C. Guestrin,PERSON,1,1
Nearoptimal,ORG,1,1
J. Mach,PERSON,1,1
Learn,PERSON,2,2
235–284,CARDINAL,1,1
T. Matis,ORG,1,1
"Proceedings of the 2017 Industrial and Systems Engineering Conference, K. Coperich",ORG,1,1
E. Cudney,PERSON,1,1
H. Nembhard,PERSON,1,1
"Curran Associates, Inc.",ORG,1,1
Red Hook,ORG,1,1
W.H. Chen,PERSON,1,1
7–25,CARDINAL,1,1
Inf,PERSON,1,1
New Atlas,GPE,1,1
Introduction to Unmanned Systems,ORG,1,1
"Air, Ground, Sea & Space",ORG,1,1
Unmanned Vehicle University Press,ORG,1,1
T. Sun,ORG,1,1
Energyoptimal,ORG,1,1
699–701,CARDINAL,1,1
Y. Han,PERSON,1,1
580–583,CARDINAL,1,1
K. Li,PERSON,1,1
Mobile Comput,PERSON,6,2
1377–1386,DATE,1,1
Mechatronics 21,ORG,1,1
876–885,CARDINAL,1,1
J. Luo,PERSON,1,1
X. Xu,PERSON,1,1
Network,ORG,1,1
1263–1280,DATE,1,1
M.A. Goodrich,PERSON,1,1
2532–2544,CARDINAL,1,1
Y. Lin,PERSON,1,1
S. Saripalli,PERSON,3,1
3D Dubins,ORG,1,1
296–304,CARDINAL,1,1
Z. Zheng,PERSON,1,1
K.Y. Cai,PERSON,1,1
Bilevel,PERSON,1,1
Knowl,GPE,1,1
Syst,ORG,3,2
34–47,DATE,1,1
X.F. Liu,PERSON,1,1
J. Central South Univ,ORG,2,1
2501–2510,CARDINAL,1,1
S.W. Loke,ORG,1,1
J. Lu,PERSON,1,1
Der Bereich Lufthansa Aerial Services,PERSON,1,1
Partnerschaft,PRODUCT,1,1
Drohnenhersteller,PERSON,1,1
The Aerial Services Department,ORG,1,1
26th of January 2016,DATE,1,1
Press Release,PERSON,1,1
Z. Luo,PERSON,1,1
Z. Liu,PERSON,1,1
J. Shi,PERSON,1,1
1–17,DATE,1,1
J. Lyu,PERSON,3,2
Y. Zeng,PERSON,14,2
R. Zhang,PERSON,13,2
IEEE Wirel,PERSON,1,1
600–603,CARDINAL,1,1
J. Lyu et al.,PERSON,1,1
604–607,CARDINAL,2,2
S. Karaman,PERSON,1,1
K.C. Magoteaux,PERSON,1,1
B. Sanders,PERSON,1,1
H.A. Sodano,ORG,1,1
University of Dayton,ORG,1,1
S. Rathinam,PERSON,5,1
S. Darbha,PERSON,3,1
J. Dyn,PERSON,1,1
Meas,ORG,1,1
Control 137,ORG,1,1
691–703,CARDINAL,1,1
N. Mathew,PERSON,3,1
S.L. Smith,PERSON,3,1
S.L. Waslander,ORG,3,1
IEEE International Conference on Robotics and Automation,EVENT,2,1
128–142,CARDINAL,1,1
Autom,GPE,16,4
polygon area,ORG,1,1
Distributed Autonomous Robotic Systems,ORG,1,1
R. Alami,PERSON,1,1
R. Chatila,PERSON,1,1
H. Asama,ORG,1,1
Tokyo,GPE,2,2
221–230,CARDINAL,1,1
453,CARDINAL,1,1
N. Correia,PERSON,1,1
S. Schütz,PERSON,1,1
J. Wirel,PERSON,2,1
297–309,CARDINAL,1,1
J. McMillan,PERSON,1,1
PricewaterhouseCoopers,ORG,1,1
Blimpsized,ORG,1,1
Thrillist,PERSON,1,1
G. Friedrich,PERSON,1,1
Routing,GPE,2,1
multiple micro UAVs,ORG,1,1
Proceedings of the 20th,ORG,1,1
European Conference on Artiﬁcial Intelligence,EVENT,1,1
588–593,CARDINAL,1,1
Y. Miao et,PERSON,1,1
466–474,CARDINAL,1,1
D. Hyunchul,PERSON,1,1
D.H. Shim,PERSON,2,1
303–313,CARDINAL,1,1
Space Sci,PERSON,1,1
1–11,CARDINAL,2,2
M. Mozaﬀari,PERSON,6,1
3949–3963,CARDINAL,3,3
Mobile,ORG,1,1
IEEE Transactions on Wireless Communications,ORG,2,1
7574–7589,DATE,1,1
2053–2056,DATE,1,1
8052–8066,CARDINAL,1,1
R. Nagi,PERSON,1,1
2787–2799,CARDINAL,1,1
R.R. Murphy,ORG,1,1
Disaster Robotics,PERSON,1,1
The MIT Press,ORG,1,1
C.C. Murray,PERSON,1,1
A.G. Chu,PERSON,1,1
Complete,PERSON,1,1
Robotics 5,LAW,1,1
J.R. Neto,PERSON,1,1
F. Remondino,PERSON,2,2
J.L. Nguyen,PERSON,1,1
Robots 40,PERSON,2,1
1017–1039,CARDINAL,1,1
M. Innocenti,PERSON,1,1
L. Pollini,PERSON,1,1
P.T. Kabamba,PERSON,1,1
A.R. Girard,ORG,1,1
973–985,DATE,1,1
I.K. Nikolos,PERSON,1,1
Evolutionary,ORG,1,1
898–912,CARDINAL,1,1
1–7,CARDINAL,3,2
Prospect,ORG,2,1
MAV,ORG,1,1
J. Syst,ORG,1,1
120–128,CARDINAL,1,1
J.L. Ny,PERSON,1,1
E. Feron,PERSON,1,1
Control 57,ORG,1,1
265–270,CARDINAL,1,1
K.J. Obermeyer,ORG,1,1
P. Oberlin,PERSON,1,1
619–631,CARDINAL,1,1
J. Syst,PERSON,2,2
Sci,ORG,1,1
825–840,DATE,1,1
1509–1545,CARDINAL,1,1
"Adhoc,",ORG,1,1
Wireless Networks,ORG,1,1
D. Kingston,PERSON,1,1
C. Langbort,PERSON,1,1
255–274,CARDINAL,1,1
H.R. Topcuoglu,PERSON,1,1
M. Ermis,PERSON,1,1
Simul,GPE,1,1
903–920,CARDINAL,1,1
Massachusetts Institute of Technology,ORG,1,1
F. Bullo,PERSON,2,1
Adaptive,ORG,2,2
Control 56,ORG,1,1
1259–1274,DATE,1,1
Sharing,PERSON,1,1
IEEE Robot,ORG,3,1
52–61,CARDINAL,1,1
F. Lin,PERSON,1,1
B.M. Chen,PERSON,1,1
China Inf,PERSON,1,1
072203,DATE,1,1
1210–1217,CARDINAL,1,1
S. Bagassi,PERSON,1,1
Route,GPE,3,1
687–702,CARDINAL,1,1
J.R. Peters,PERSON,1,1
